Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/21,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,6,2,1,0.0,0.0,0.0,0.0,0.6666666666666666,NaN
P10,2022/10/21,7,21,2,0.0,0.0,0.0,0.4782608695652174,0.30434782608695654,NaN
P10,2022/10/21,8,63,13,0.0,0.0,0.0,0.5921052631578947,0.21052631578947367,NaN
P10,2022/10/21,9,47,15,0.0,0.0,0.0,0.5161290322580645,0.2903225806451613,NaN
P10,2022/10/21,10,24,10,0.0,0.0,0.0,0.47058823529411764,0.29411764705882354,NaN
P10,2022/10/21,11,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,13,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,15,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,16,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,17,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,18,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,20,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/21,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,8,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,11,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P12,2022/10/12,13,0,120,0.0,0.0,0.0,0.48333333333333334,0.1,NaN
P12,2022/10/12,14,0,73,0.0,0.0,0.0,0.3972602739726027,0.0410958904109589,NaN
P12,2022/10/12,15,0,121,0.0,0.0,0.0,0.4049586776859504,0.08264462809917356,NaN
P12,2022/10/12,16,0,143,0.0,0.0,0.0,0.4825174825174825,0.06293706293706294,NaN
P12,2022/10/12,17,0,263,0.0,0.0,0.0,0.3726235741444867,0.019011406844106463,NaN
P12,2022/10/12,18,0,225,0.0,0.0,0.0,0.3422222222222222,0.008888888888888889,NaN
P12,2022/10/12,19,0,93,0.0,0.0,0.0,0.3763440860215054,0.021505376344086023,NaN
P12,2022/10/12,20,0,47,0.0,0.0,0.0,0.1702127659574468,0.0425531914893617,NaN
P12,2022/10/12,21,0,19,0.0,0.0,0.0,0.3157894736842105,0.0,NaN
P12,2022/10/12,22,0,19,0.0,0.0,0.0,0.2631578947368421,0.15789473684210525,NaN
